City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,kuyanovo,55.8014,54.5372,37.09,98,100,18.79,RU,1678651635
1,punta arenas,-53.15,-70.9167,59.11,47,75,28.77,CL,1678651635
2,arraial do cabo,-22.9661,-42.0278,78.66,83,75,9.22,BR,1678651635
3,saldanha,-33.0117,17.9442,63.97,84,0,14.67,ZA,1678651636
4,airai,-8.9266,125.4092,57.87,93,23,1.12,TL,1678651601
5,bambous virieux,-20.3428,57.7575,78.22,80,99,13.06,MU,1678651636
6,mount gambier,-37.8333,140.7667,51.1,96,16,5.08,AU,1678651636
7,busselton,-33.65,115.3333,63.57,95,100,5.32,AU,1678651447
8,castro,-24.7911,-50.0119,67.77,93,95,7.36,BR,1678651637
9,bara,10.3744,10.7288,82.56,9,50,7.78,NG,1678651509
10,saint george,37.1041,-113.5841,63.43,51,0,4.0,US,1678651538
11,bartica,6.4,-58.6167,86.32,67,100,3.6,GY,1678651637
12,albany,42.6001,-73.9662,45.05,45,100,1.01,US,1678651517
13,kruisfontein,-34.0033,24.7314,66.88,79,0,13.51,ZA,1678651638
14,abonnema,4.7084,6.7931,80.4,77,100,9.1,NG,1678651638
15,severo-kurilsk,50.6789,156.125,30.94,90,75,8.61,RU,1678651639
16,khani,41.9563,42.9566,53.17,60,83,8.46,GE,1678651639
17,usinsk,65.9939,57.5281,26.58,96,100,21.61,RU,1678651639
18,ceres,37.5949,-120.9577,65.21,94,100,9.22,US,1678651640
19,victoria,22.2855,114.1577,70.25,61,98,10.0,HK,1678651545
20,dryden,49.7833,-92.7503,19.67,81,100,10.89,CA,1678651640
21,longyearbyen,78.2186,15.6401,15.64,62,75,14.97,SJ,1678651640
22,lebu,-37.6167,-73.65,61.95,86,100,3.62,CL,1678651641
23,bluff,-46.6,168.3333,53.46,66,57,19.17,NZ,1678651641
24,yellowknife,62.456,-114.3525,1.22,87,47,6.73,CA,1678651641
25,puerto del rosario,28.5004,-13.8627,67.75,88,20,2.3,ES,1678651642
26,tiksi,71.6872,128.8694,-11.51,97,41,7.14,RU,1678651642
27,rio gallegos,-51.6226,-69.2181,68.05,21,75,21.85,AR,1678651492
28,cherskiy,68.75,161.3,2.43,72,100,11.45,RU,1678651643
29,vestmannaeyjar,63.4427,-20.2734,22.8,46,2,8.48,IS,1678651643
30,kaitangata,-46.2817,169.8464,49.1,85,72,10.25,NZ,1678651351
31,assiniboia,49.6334,-105.9845,16.18,86,54,7.56,CA,1678651644
32,torphichen,55.9348,-3.6539,49.64,81,40,9.22,GB,1678651644
33,srikakulam,18.3,83.9,72.52,73,0,3.87,IN,1678651645
34,barrow,71.2906,-156.7887,-16.58,69,20,17.27,US,1678651645
35,havre-saint-pierre,50.2334,-63.5986,30.58,64,9,6.17,CA,1678651645
36,tura,25.5198,90.2201,70.29,28,0,3.49,IN,1678651646
37,east london,-33.0153,27.9116,70.56,75,88,16.84,ZA,1678651646
38,mar del plata,-38.0023,-57.5575,96.82,46,20,11.5,AR,1678651401
39,coquimbo,-29.9533,-71.3436,73.13,56,0,13.8,CL,1678651647
40,mataura,-46.1927,168.8643,46.98,94,88,5.01,NZ,1678651647
41,maua,-23.6678,-46.4614,70.09,95,100,4.81,BR,1678651648
42,vaini,-21.2,-175.2,80.76,83,75,10.36,TO,1678651648
43,cape town,-33.9258,18.4232,66.11,73,0,11.5,ZA,1678651366
44,khatanga,71.9667,102.5,14.88,94,100,10.54,RU,1678651649
45,port-gentil,-0.7193,8.7815,82.36,89,40,5.75,GA,1678651649
46,dikson,73.5069,80.5464,-20.02,100,99,11.27,RU,1678651650
47,rikitea,-23.1203,-134.9692,78.6,75,100,23.82,PF,1678651650
48,hermanus,-34.4187,19.2345,63.81,74,0,7.76,ZA,1678651651
49,malangali,-8.5667,34.85,63.12,95,100,2.68,TZ,1678651651
50,katsuura,35.1333,140.3,58.39,73,100,17.87,JP,1678651651
51,dingle,10.9995,122.6711,73.81,85,6,5.84,PH,1678651652
52,ushuaia,-54.8,-68.3,47.66,89,97,7.87,AR,1678651651
53,codrington,-38.2667,141.9667,53.35,88,10,7.36,AU,1678651652
54,nikolskoye,59.7035,30.7861,23.81,86,34,10.45,RU,1678651652
55,kaohsiung,22.6163,120.3133,65.03,83,54,1.01,TW,1678651653
56,tecoanapa,16.5167,-98.75,83.37,61,0,12.28,MX,1678651653
57,shiraz,29.6036,52.5388,58.44,36,0,4.61,IR,1678651653
58,luwuk,-0.9516,122.7875,75.96,93,100,5.35,ID,1678651642
59,kununurra,-15.7667,128.7333,71.58,88,0,0.0,AU,1678651654
60,mitu,1.1983,-70.1733,72.05,99,100,1.66,CO,1678651654
61,abha,18.2164,42.5053,55.65,94,40,6.91,SA,1678651386
62,avera,33.194,-82.5271,53.11,96,100,5.06,US,1678651655
63,sao filipe,14.8961,-24.4956,77.54,56,0,5.7,CV,1678651655
64,mahebourg,-20.4081,57.7,78.26,80,99,13.09,MU,1678651655
65,los llanos de aridane,28.6585,-17.9182,64.15,83,20,10.36,ES,1678651656
66,faanui,-16.4833,-151.75,81.63,77,98,13.33,PF,1678651656
67,port alfred,-33.5906,26.891,69.19,80,73,5.01,ZA,1678651656
68,stornoway,58.2093,-6.3865,40.96,94,100,11.5,GB,1678651657
69,naryan-mar,67.6713,53.087,22.86,95,100,17.94,RU,1678651657
70,anito,12.4497,125.2886,75.51,87,79,10.0,PH,1678651657
71,jamestown,42.097,-79.2353,35.02,75,100,9.22,US,1678651502
72,souillac,-20.5167,57.5167,76.91,83,100,11.59,MU,1678651658
73,tuktoyaktuk,69.4541,-133.0374,-0.4,85,100,3.44,CA,1678651658
74,avarua,-21.2078,-159.775,77.05,94,75,8.05,CK,1678651658
75,mandalgovi,45.7625,106.2708,30.47,28,56,11.77,MN,1678651659
76,bredasdorp,-34.5322,20.0403,65.28,75,0,7.11,ZA,1678651659
77,thompson,55.7435,-97.8558,19.38,81,100,5.64,CA,1678651659
78,saint-philippe,-21.3585,55.7679,76.59,76,32,8.7,RE,1678651659
79,vila franca do campo,37.7167,-25.4333,61.21,80,9,19.48,PT,1678651660
80,torbay,47.6666,-52.7314,31.28,93,100,20.71,CA,1678651660
81,nanortalik,60.1432,-45.2371,28.62,91,74,3.29,GL,1678651660
82,itapipoca,-3.4944,-39.5786,82.11,72,100,6.87,BR,1678651661
83,cabo san lucas,22.8909,-109.9124,86.61,28,0,5.75,MX,1678651453
84,pitimbu,-7.4706,-34.8086,84.79,73,52,12.33,BR,1678651661
85,arcachon,44.5875,-1.0519,59.32,100,75,0.0,FR,1678651662
86,butaritari,3.0707,172.7902,81.91,76,38,16.98,KI,1678651662
87,qarqin,37.4185,66.0436,61.48,60,4,8.1,AF,1678651662
88,raudeberg,61.9875,5.1352,32.86,77,100,15.37,NO,1678651662
89,sulangan,11.1373,123.7228,78.51,75,30,17.0,PH,1678651663
90,katherine,-14.4667,132.2667,75.52,83,40,0.0,AU,1678651663
91,stranda,62.3096,6.9358,34.14,83,100,8.37,NO,1678651663
92,shimoda,34.6667,138.95,55.11,74,100,13.96,JP,1678651664
93,mount isa,-20.7333,139.5,71.37,73,40,4.61,AU,1678651664
94,xam nua,20.4197,104.0439,58.77,96,100,2.53,LA,1678651664
95,buluang,13.3068,123.3425,70.16,93,25,3.98,PH,1678651665
96,cotonou,6.3654,2.4183,82.44,80,100,11.65,BJ,1678651370
97,klaksvik,62.2266,-6.589,27.52,70,100,41.94,FO,1678651665
98,hobart,-42.8794,147.3294,51.06,82,40,0.0,AU,1678651665
99,ixtapa,20.7,-105.2,78.03,57,0,9.22,MX,1678651665
100,pangkalanbuun,-2.6833,111.6167,73.71,98,100,2.48,ID,1678651666
101,hithadhoo,-0.6,73.0833,81.68,78,75,10.54,MV,1678651609
102,tuatapere,-46.1333,167.6833,49.23,85,45,10.85,NZ,1678651666
103,aklavik,68.2191,-135.0107,3.74,86,100,20.2,CA,1678651667
104,atar,20.5169,-13.0499,84.45,7,0,10.07,MR,1678651667
105,ilulissat,69.2167,-51.1,21.22,42,22,0.0,GL,1678651667
106,laguna,38.421,-121.4238,61.11,82,100,11.5,US,1678651612
107,hilo,19.7297,-155.09,83.28,65,20,8.05,US,1678651539
108,kapaa,22.0752,-159.319,77.18,86,75,10.36,US,1678651668
109,cayenne,4.9333,-52.3333,86.04,58,75,12.66,GF,1678651668
110,dalbandin,28.8947,64.4101,71.56,24,0,7.81,PK,1678651669
111,labytnangi,66.6572,66.4183,14.23,95,100,2.3,RU,1678651669
112,lamu,-2.2717,40.902,80.82,89,65,9.4,KE,1678651670
113,norman wells,65.282,-126.8329,9.97,76,13,8.68,CA,1678651670
114,guerrero negro,27.9769,-114.0611,66.74,69,100,21.88,MX,1678651670
115,the pas,53.8251,-101.2541,20.3,81,100,2.04,CA,1678651670
116,praia,14.9215,-23.5087,82.94,28,20,18.41,CV,1678651671
117,arenapolis,-14.4503,-56.8461,77.2,82,100,6.96,BR,1678651382
118,kaniama,-7.5667,24.1833,67.08,95,100,1.74,CD,1678651671
119,mehran,33.1222,46.1646,68.16,33,100,3.29,IR,1678651671
120,coihaique,-45.5752,-72.0662,57.15,51,75,8.05,CL,1678651672
121,ribeira grande,38.5167,-28.7,61.2,77,40,20.71,PT,1678651672
122,dandong,40.1292,124.3947,24.51,29,0,3.58,CN,1678651672
123,namatanai,-3.6667,152.4333,78.28,83,99,2.3,PG,1678651673
124,atuona,-9.8,-139.0333,79.99,75,98,6.51,PF,1678651673
125,vila velha,-20.3297,-40.2925,82.35,80,40,9.22,BR,1678651607
126,tautira,-17.7333,-149.15,81.23,72,77,12.73,PF,1678651673
127,pangai,-19.8,-174.35,81.37,77,5,13.53,TO,1678651674
128,korla,41.7597,86.1469,44.44,37,5,3.38,CN,1678651674
129,tilichiki,60.4667,166.1,11.61,94,100,0.69,RU,1678651674
130,grindavik,63.8424,-22.4338,19.87,53,20,18.41,IS,1678651675
131,wlodawa,51.55,23.55,33.15,70,100,8.03,PL,1678651675
132,orbetello,42.4408,11.2196,55.45,85,0,1.25,IT,1678651399
133,kavieng,-2.5744,150.7967,80.91,77,99,4.0,PG,1678651675
134,mosetse,-20.75,26.65,76.75,41,10,17.16,BW,1678651676
135,pevek,69.7008,170.3133,1.15,68,100,10.89,RU,1678651676
136,sira,13.7453,76.9092,73.63,57,0,9.98,IN,1678651676
137,asau,46.4333,26.4,36.52,66,84,4.52,RO,1678651677
138,zemio,5.0314,25.1361,76.98,61,55,3.47,CF,1678651677
